交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2025-12-16,pb2603,8,8,8,0.192,0,0.149816,14.9816
2025-12-16,小计,12424,15606,805,294.479,0,,
2025-12-17,pb2601,10960,12453,-141,355.2115,15,0.137233,13.7233
2025-12-17,pb2602,1879,3340,336,104.855,0,0.129985,12.9985
2025-12-17,pb2603,23,31,23,0.247,0,0.136032,13.6032
2025-12-17,小计,12862,15824,218,460.3135,15,,
2025-12-18,pb2601,9970,12934,481,304.295,0,0.14434,14.434
2025-12-18,pb2602,1127,3590,250,74.2635,0,0.134944,13.4944
2025-12-18,pb2603,10,35,4,0.1355,0,0.140981,14.0981
2025-12-18,小计,11107,16559,735,378.694,0,,
2025-12-19,pb2601,20355,13869,935,591.131,0,0.182488,18.2488
2025-12-19,pb2602,2644,3627,37,131.477,5,0.145279,14.5279
2025-12-19,pb2603,326,331,296,17.726,0,0.143198,14.3198
2025-12-19,小计,23325,17827,1268,740.334,5,,
2025-12-22,pb2601,16825,14259,390,358.071,11,0.198114,19.8114
2025-12-22,pb2602,1943,3753,126,110.8705,0,0.149499,14.9499
2025-12-22,pb2603,31,336,5,0.8125,0,0.203669,20.3669
2025-12-22,小计,18799,18348,521,469.754,11,,
2025-12-23,pb2601,12642,14677,418,270.818,4,0.164023,16.4023
2025-12-23,pb2602,2058,4016,263,116.417,0,0.171182,17.1182
2025-12-23,pb2603,55,375,39,1.582,0,0.14702,14.702
2025-12-23,小计,14755,19068,720,388.817,4,,
2025-12-24,pb2601,33271,14567,-110,681.3265,0,0.227533,22.7533
2025-12-24,pb2602,9522,5989,1973,704.918,0,0.188963,18.8963
2025-12-24,pb2603,1078,782,407,75.362,0,0.172787,17.2787
2025-12-24,小计,43871,21338,2270,1461.6065,0,,
2025-12-25,pb2601,18722,0,-14567,336.4715,1637,0.207114,20.7114
2025-12-25,pb2602,7607,7016,1027,542.214,0,0.209551,20.9551
2025-12-25,pb2603,850,920,138,79.665,0,0.18069,18.069
2025-12-25,小计,27179,7936,-13402,958.3505,1637,,
