½»Ò×ÈÕÆÚ,ºÏÔ¼ÏµÁĞ,³É½»Á¿,³Ö²ÖÁ¿,³Ö²ÖÁ¿±ä»¯,³É½»¶î,ĞĞÈ¨Á¿,Òşº¬²¨¶¯ÂÊ,Òşº¬²¨¶¯ÂÊ(%)
2025/3/5,Ğ¡¼Æ,60749,95052,3107,10925.025,0,,
2025/3/6,ru2504,1173,3008,28,101.963,0,0.177805,17.7805
2025/3/6,ru2505,45420,82068,-25,8706.969,0,0.197321,19.7321
2025/3/6,ru2509,2318,10118,139,784.589,0,0.188932,18.8932
2025/3/6,Ğ¡¼Æ,48911,95194,142,9593.521,0,,
2025/3/7,ru2504,981,3183,175,97.096,0,0.1875,18.75
2025/3/7,ru2505,33443,83932,1864,6949.222,0,0.194847,19.4847
2025/3/7,ru2509,1423,10451,333,460.679,0,0.188104,18.8104
2025/3/7,Ğ¡¼Æ,35847,97566,2372,7506.997,0,,
2025/3/10,ru2504,1561,3113,-70,164.599,0,0.18943,18.943
2025/3/10,ru2505,53937,88121,4189,9613.116,0,0.212794,21.2794
2025/3/10,ru2509,2823,11127,676,1094.321,0,0.182964,18.2964
2025/3/10,Ğ¡¼Æ,58321,102361,4795,10872.036,0,,
2025/3/11,ru2504,944,3145,32,120.043,0,0.190047,19.0047
2025/3/11,ru2505,41956,88766,645,7883.948,0,0.200999,20.0999
2025/3/11,ru2509,2806,11887,760,1070.519,0,0.179212,17.9212
2025/3/11,Ğ¡¼Æ,45706,103798,1437,9074.51,0,,
2025/3/12,ru2504,1088,2994,-151,137.64,0,0.176122,17.6122
2025/3/12,ru2505,44308,88205,-561,7775.928,0,0.200635,20.0635
2025/3/12,ru2509,2366,12624,737,780.861,0,0.177773,17.7773
2025/3/12,Ğ¡¼Æ,47762,103823,25,8694.429,0,,
2025/3/13,ru2504,726,3010,16,54.283,0,0.17931,17.931
2025/3/13,ru2505,31285,88381,176,5355.931,0,0.20106,20.106
2025/3/13,ru2509,2616,13450,826,816.799,0,0.180928,18.0928
2025/3/13,Ğ¡¼Æ,34627,104841,1018,6227.013,0,,
2025/3/14,ru2504,780,3044,34,24.627,5,0.188079,18.8079
2025/3/14,ru2505,37146,90085,1704,6050.929,40,0.194345,19.4345
2025/3/14,ru2509,1984,13618,168,617.158,0,0.178574,17.8574
2025/3/14,Ğ¡¼Æ,39910,106747,1906,6692.714,45,,
2025/3/17,ru2504,2040,3239,195,106.417,3,0.197517,19.7517
2025/3/17,ru2505,50422,92304,2219,7353.18,4,0.201251,20.1251
2025/3/17,ru2509,4743,14794,1176,1275.014,0,0.183822,18.3822
2025/3/17,Ğ¡¼Æ,57205,110337,3590,8734.611,7,,
2025/3/18,ru2504,1248,3210,-29,91.63,3,0.20045,20.045
2025/3/18,ru2505,30126,89518,-2786,4026.916,0,0.206589,20.6589
2025/3/18,ru2509,3489,16083,1289,1251.329,0,0.179625,17.9625
2025/3/18,Ğ¡¼Æ,34863,108811,-1526,5369.875,3,,
2025/3/19,ru2504,1296,3289,79,73.885,0,0.178013,17.8013
2025/3/19,ru2505,27664,88793,-725,3810.008,56,0.198064,19.8064
2025/3/19,ru2509,2617,16907,824,771.847,0,0.181642,18.1642
2025/3/19,Ğ¡¼Æ,31577,108989,178,4655.74,56,,
2025/3/20,ru2504,3834,3661,372,237.114,1,0.185784,18.5784
2025/3/20,ru2505,65725,87517,-1276,10973.753,55,0.197295,19.7295
2025/3/20,ru2509,9600,19083,2176,2699.557,0,0.177218,17.7218
2025/3/20,Ğ¡¼Æ,79159,110261,1272,13910.424,56,,
2025/3/21,ru2504,1732,3504,-157,57.858,0,0.180612,18.0612
2025/3/21,ru2505,24688,87697,180,3974.123,0,0.197376,19.7376
2025/3/21,ru2509,3700,19185,102,1212.838,0,0.172038,17.2038
2025/3/21,Ğ¡¼Æ,30120,110386,125,5244.819,0,,
2025/3/24,ru2504,2407,3586,82,87.612,1,0.221238,22.1238
2025/3/24,ru2505,32219,86213,-1484,4662.77,54,0.207639,20.7639
2025/3/24,ru2509,2830,19150,-35,1071.217,0,0.17747,17.747
2025/3/24,Ğ¡¼Æ,37456,108949,-1437,5821.599,55,,
2025/3/25,ru2504,3408,0,-3586,169.709,499,0.178384,17.8384
2025/3/25,ru2505,34324,85228,-985,5184.645,100,0.203889,20.3889
2025/3/25,ru2509,4619,18189,-961,1435.783,0,0.176659,17.6659
2025/3/25,Ğ¡¼Æ,42351,103417,-5532,6790.137,599,,
2025/3/26,ru2505,35957,82957,-2271,4392.298,265,0.202201,20.2201
2025/3/26,ru2506,60,57,57,17.167,0,0.172005,17.2005
2025/3/26,ru2509,3653,18955,766,952.353,0,0.180264,18.0264
2025/3/26,Ğ¡¼Æ,39670,101969,-1448,5361.818,265,,
2025/3/27,ru2505,36990,80960,-1997,4485.476,90,0.205708,20.5708
2025/3/27,ru2506,111,132,75,28.089,0,0.168377,16.8377
2025/3/27,ru2509,4113,20115,1160,957.63,0,0.18262,18.262
2025/3/27,Ğ¡¼Æ,41214,101207,-762,5471.195,90,,
2025/3/28,ru2505,66660,76243,-4717,8331.662,43,0.19759,19.759
2025/3/28,ru2506,96,218,86,39.089,0,0.158992,15.8992
2025/3/28,ru2509,7759,21297,1182,2114.379,0,0.173598,17.3598
2025/3/28,Ğ¡¼Æ,74515,97758,-3449,10485.13,43,,
2025/3/31,ru2505,64350,66344,-9899,8398.021,95,0.212518,21.2518
2025/3/31,ru2506,337,507,289,58.139,0,0.180581,18.0581
2025/3/31,ru2509,8020,24346,3049,2366.222,0,0.173998,17.3998
2025/3/31,Ğ¡¼Æ,72707,91197,-6561,10822.382,95,,
2025/4/1,ru2505,45260,63559,-2785,5645.015,143,0.199952,19.9952
2025/4/1,ru2506,222,567,60,54.867,0,0.168735,16.8735
2025/4/1,ru2509,9973,26806,2460,2383.315,0,0.166758,16.6758
2025/4/1,Ğ¡¼Æ,55455,90932,-265,8083.197,143,,
2025/4/2,ru2505,27149,62976,-583,3150.627,0,0.190198,19.0198
2025/4/2,ru2506,453,616,49,61.915,0,0.164383,16.4383
2025/4/2,ru2509,5420,26806,0,1223.572,0,0.173032,17.3032
2025/4/2,Ğ¡¼Æ,33022,90398,-534,4436.114,0,,
2025/4/3,ru2505,67394,61073,-1903,9417.394,132,0.202869,20.2869
2025/4/3,ru2506,347,772,156,63.726,0,0.167596,16.7596
2025/4/3,ru2509,13779,29278,2472,3863.079,6,0.170802,17.0802
2025/4/3,Ğ¡¼Æ,81520,91123,725,13344.199,138,,
2025/4/7,ru2505,26121,55912,-5161,5867.41,189,0.355469,35.5469
2025/4/7,ru2506,40,763,-9,2.333,0,0.217118,21.7118
2025/4/7,ru2509,6868,29764,486,2252.572,0,0.220624,22.0624
2025/4/7,Ğ¡¼Æ,33029,86439,-4684,8122.315,189,,
2025/4/8,ru2505,79234,51902,-4010,27062.54,606,0.337804,33.7804
2025/4/8,ru2506,691,928,165,363.21,0,0.296012,29.6012
2025/4/8,ru2509,29141,31018,1254,13919.421,0,0.239,23.9
2025/4/8,Ğ¡¼Æ,109066,83848,-2591,41345.171,606,,
2025/4/9,ru2505,52778,50496,-1406,16751.111,337,0.390457,39.0457
2025/4/9,ru2506,294,968,40,93.067,0,0.295298,29.5298
2025/4/9,ru2509,18967,34188,3170,9323.35,65,0.256039,25.6039
2025/4/9,Ğ¡¼Æ,72039,85652,1804,26167.528,402,,
2025/4/10,ru2505,51230,50194,-302,8939.069,238,0.39233,39.233
2025/4/10,ru2506,402,1098,130,165.619,0,0.256223,25.6223
2025/4/10,ru2509,14189,34189,1,6215.872,0,0.246839,24.6839
2025/4/10,Ğ¡¼Æ,65821,85481,-171,15320.56,238,,
2025/4/11,ru2505,38154,49071,-1123,6578.143,167,0.359137,35.9137
