交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2018-10-12,cu1905                        ,24,1058,2,31.941,,0.168359,16.8359
2018-10-12,cu1906                        ,22,976,0,30.764,,0.168965,16.8965
2018-10-12,cu1907                        ,56,1064,2,86.192,,0.170277,17.0277
2018-10-12,cu1908                        ,44,860,-12,67.035,,0.17242,17.242
2018-10-12,cu1909                        ,24,1302,-2,43.122,,0.167465,16.7465
2018-10-15,cu1905                        ,56,1060,2,67.219,,0.169998,16.9998
2018-10-15,cu1902                        ,848,2108,142,896.964,,0.173308,17.3308
2018-10-15,cu1903                        ,210,1360,68,238.875,,0.168545,16.8545
2018-10-15,cu1904                        ,22,912,0,15.256,,0.170946,17.0946
2018-10-15,cu1909                        ,24,1294,-8,34.574,,0.16902,16.902
2018-10-15,cu1906                        ,64,972,-4,92.741,,0.172056,17.2056
2018-10-15,cu1907                        ,52,1066,2,85.255,,0.171103,17.1103
2018-10-15,cu1908                        ,32,866,6,53.081,,0.171205,17.1205
2018-10-15,cu1901                        ,15192,15608,586,14471.103,,0.177605,17.7605
2018-10-16,cu1901                        ,18720,16490,882,17297.917,,0.175239,17.5239
2018-10-16,cu1902                        ,4996,2692,584,5393.037,,0.172731,17.2731
2018-10-16,cu1903                        ,268,1372,12,249.172,,0.170591,17.0591
2018-10-16,cu1904                        ,78,914,2,93.046,,0.162453,16.2453
2018-10-16,cu1905                        ,90,1060,0,116.501,,0.165187,16.5187
2018-10-16,cu1906                        ,18,976,4,32.261,,0.169813,16.9813
2018-10-16,cu1907                        ,104,1060,-6,163.363,,0.170771,17.0771
2018-10-16,cu1908                        ,32,874,8,32.176,,0.178697,17.8697
2018-10-16,cu1909                        ,48,1312,18,80.516,,0.171365,17.1365
2018-10-16,cu1910                        ,324,230,230,590.824,,0.171415,17.1415
2018-10-17,cu1901                        ,14362,16806,316,13117.577,,0.170201,17.0201
2018-10-17,cu1902                        ,4764,2978,286,4754.614,,0.170101,17.0101
2018-10-17,cu1903                        ,164,1378,6,112.696,,0.168278,16.8278
2018-10-17,cu1904                        ,114,906,-8,115.581,,0.169111,16.9111
2018-10-17,cu1905                        ,56,1056,-4,70.614,,0.169671,16.9671
2018-10-17,cu1906                        ,122,982,6,175.972,,0.166501,16.6501
2018-10-17,cu1907                        ,158,1076,16,257.136,,0.169313,16.9313
2018-10-17,cu1908                        ,146,880,6,246.916,,0.170533,17.0533
2018-10-17,cu1909                        ,168,1336,24,244.172,,0.169681,16.9681
2018-10-17,cu1910                        ,134,302,72,209.37,,0.170439,17.0439
2018-10-18,cu1903                        ,114,1372,-6,105.264,,0.165611,16.5611
2018-10-18,cu1901                        ,14454,17446,640,12204.363,,0.166907,16.6907
2018-10-18,cu1902                        ,6896,3398,420,6259.967,,0.168874,16.8874
2018-10-18,cu1904                        ,30,912,6,22.301,,0.169445,16.9445
2018-10-18,cu1905                        ,56,1068,12,49.342,,0.167107,16.7107
2018-10-18,cu1906                        ,64,976,-6,70.774,,0.16517,16.517
2018-10-18,cu1909                        ,76,1350,14,112.887,,0.167497,16.7497
2018-10-18,cu1908                        ,32,884,4,41.023,,0.168429,16.8429
2018-10-18,cu1910                        ,42,328,26,90.608,,0.166345,16.6345
2018-10-18,cu1907                        ,58,1070,-6,74.351,,0.166367,16.6367
2018-10-19,cu1901                        ,10618,17560,114,8233.333,,0.16551,16.551
2018-10-19,cu1902                        ,5010,3644,246,4891.72,,0.168105,16.8105
2018-10-19,cu1903                        ,76,1384,12,69.064,,0.165858,16.5858
2018-10-19,cu1904                        ,46,900,-12,41.35,,0.164906,16.4906
2018-10-19,cu1905                        ,22,1080,12,14.904,,0.173075,17.3075
2018-10-19,cu1906                        ,4,978,2,4.09,,0.169583,16.9583
2018-10-19,cu1907                        ,10,1070,0,17.672,,0.166959,16.6959
2018-10-19,cu1908                        ,18,878,-6,20.43,,0.169346,16.9346
2018-10-19,cu1909                        ,18,1352,2,22.84,,0.1692,16.92
2018-10-19,cu1910                        ,144,362,34,326.165,,0.162335,16.2335
2018-10-22,cu1901                        ,9590,18122,562,7452.348,,0.166607,16.6607
2018-10-22,cu1902                        ,5100,3794,150,5271.409,,0.167781,16.7781
2018-10-22,cu1903                        ,12,1382,-2,7.041,,0.166251,16.6251
2018-10-22,cu1904                        ,136,962,62,127.181,,0.166444,16.6444
2018-10-22,cu1905                        ,22,1078,-2,18.769,,0.16805,16.805
2018-10-22,cu1906                        ,28,978,0,27.938,,0.169279,16.9279
2018-10-22,cu1907                        ,44,1068,-2,59.267,,0.16799,16.799
2018-10-22,cu1908                        ,24,878,0,31.754,,0.169347,16.9347
2018-10-22,cu1909                        ,78,1364,12,117.995,,0.168289,16.8289
2018-10-22,cu1910                        ,222,368,6,353.892,,0.169361,16.9361
2018-10-23,cu1901                        ,12634,18346,224,7144.601,,0.164,16.4
2018-10-23,cu1902                        ,6772,4138,344,6496.253,,0.165441,16.5441
2018-10-23,cu1903                        ,108,1378,-4,100.569,,0.161416,16.1416
2018-10-23,cu1904                        ,362,1092,130,536.859,,0.162859,16.2859
2018-10-23,cu1905                        ,298,1146,68,499.835,,0.165179,16.5179
2018-10-23,cu1906                        ,230,1060,82,380.656,,0.163904,16.3904
2018-10-23,cu1907                        ,250,1120,52,451.697,,0.163326,16.3326
2018-10-23,cu1908                        ,208,942,64,379.754,,0.16416,16.416
2018-10-23,cu1909                        ,128,1400,36,237.979,,0.166044,16.6044
2018-10-23,cu1910                        ,28,376,8,41.704,,0.16886,16.886
2018-10-24,cu1901                        ,11670,18768,422,9982.534,,0.159474,15.9474
2018-10-24,cu1902                        ,5484,4268,130,5619.018,,0.161634,16.1634
2018-10-24,cu1903                        ,34,1364,-14,13.37,,0.164645,16.4645
2018-10-24,cu1904                        ,172,1084,-8,138.336,,0.160309,16.0309
2018-10-24,cu1905                        ,158,1172,26,168.762,,0.164892,16.4892
2018-10-24,cu1906                        ,226,1044,-16,258.652,,0.162697,16.2697
2018-10-24,cu1907                        ,106,1112,-8,155.301,,0.16602,16.602
2018-10-24,cu1908                        ,86,932,-10,92.626,,0.165145,16.5145
2018-10-24,cu1909                        ,150,1388,-12,187.927,,0.167342,16.7342
2018-10-24,cu1910                        ,92,378,2,154.567,,0.165594,16.5594
