交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2020-09-15,zn2010                        ,7424,8870,60,811.4325,0.0,0.228593,22.8593
2020-09-15,zn2011                        ,2019,3997,147,256.955,0.0,0.200484,20.0484
2020-09-15,zn2012                        ,1,88,1,0.0855,0.0,0.188587,18.8587
2020-09-16,zn2010                        ,6261,9265,395,543.497,0.0,0.225788,22.5788
2020-09-16,zn2011                        ,1670,3926,-71,143.171,0.0,0.206276,20.6276
2020-09-16,zn2012                        ,120,141,53,6.245,0.0,0.212194,21.2194
2020-09-17,zn2011                        ,3368,4429,503,309.775,0.0,0.217496,21.7496
2020-09-17,zn2010                        ,10262,9642,377,991.633,0.0,0.239178,23.9178
2020-09-17,zn2012                        ,900,627,486,87.217,0.0,0.217847,21.7847
2020-09-18,zn2101                        ,105,101,101,27.8195,0.0,0.204006,20.4006
2020-09-18,zn2012                        ,1040,983,356,157.182,0.0,0.238794,23.8794
2020-09-18,zn2011                        ,6398,4357,-72,740.163,0.0,0.213396,21.3396
2020-09-18,zn2010                        ,10483,10318,676,834.2175,0.0,0.238123,23.8123
2020-09-21,zn2010                        ,8686,10999,681,948.355,0.0,0.281158,28.1158
2020-09-21,zn2011                        ,1932,4539,182,221.6825,0.0,0.227125,22.7125
2020-09-21,zn2012                        ,519,1275,292,86.213,0.0,0.232383,23.2383
2020-09-21,zn2101                        ,21,116,15,2.009,0.0,0.231605,23.1605
2020-09-22,zn2010                        ,10205,10113,-886,761.7345,0.0,0.280635,28.0635
2020-09-22,zn2011                        ,5535,5226,687,600.592,0.0,0.238292,23.8292
2020-09-22,zn2012                        ,1641,1418,143,324.18,0.0,0.232546,23.2546
2020-09-22,zn2101                        ,8,124,8,0.82,0.0,0.220509,22.0509
2020-09-23,zn2101                        ,13,131,7,1.874,0.0,0.244577,24.4577
2020-09-23,zn2012                        ,1245,1443,25,189.007,0.0,0.239436,23.9436
2020-09-23,zn2011                        ,4050,5458,232,502.1635,0.0,0.235205,23.5205
2020-09-23,zn2010                        ,9603,9402,-711,1221.294,76.0,0.286985,28.6985
2020-09-24,zn2010                        ,7681,0,-9402,628.6345,1489.0,0.249661,24.9661
2020-09-24,zn2011                        ,5583,5982,524,716.461,0.0,0.245913,24.5913
2020-09-24,zn2012                        ,1418,1692,249,253.3435,0.0,0.250025,25.0025
2020-09-24,zn2101                        ,4,127,-4,0.263,0.0,0.23963,23.963
2020-09-25,zn2011                        ,6411,6489,507,753.619,0.0,0.252008,25.2008
2020-09-25,zn2012                        ,743,1739,47,147.235,0.0,0.250061,25.0061
2020-09-25,zn2101                        ,8,123,-4,0.564,0.0,0.24267,24.267
2020-09-28,zn2101                        ,5,128,5,0.6085,0.0,0.241585,24.1585
2020-09-28,zn2011                        ,5466,7505,1016,642.518,0.0,0.272432,27.2432
2020-09-28,zn2012                        ,1098,1806,67,139.738,0.0,0.266792,26.6792
2020-09-29,zn2011                        ,6100,7749,244,777.494,0.0,0.276485,27.6485
2020-09-29,zn2012                        ,1144,1896,90,139.033,0.0,0.278906,27.8906
2020-09-29,zn2101                        ,27,152,24,2.931,0.0,0.266402,26.6402
2020-09-30,zn2011                        ,3295,7665,-84,398.8465,0.0,0.279675,27.9675
2020-09-30,zn2012                        ,881,2011,115,132.1445,0.0,0.258732,25.8732
2020-09-30,zn2101                        ,20,172,20,2.536,0.0,0.237406,23.7406
2020-10-09,zn2101                        ,41,193,21,4.2255,0.0,0.224329,22.4329
2020-10-09,zn2012                        ,907,2007,-4,112.5915,0.0,0.226994,22.6994
2020-10-09,zn2011                        ,5359,6680,-985,331.407,0.0,0.250905,25.0905
2020-10-12,zn2011                        ,6533,6352,-328,507.675,0.0,0.236207,23.6207
2020-10-12,zn2012                        ,1945,2103,96,218.64,0.0,0.232341,23.2341
2020-10-12,zn2101                        ,8,194,1,0.3345,0.0,0.228081,22.8081
2020-10-13,zn2011                        ,2786,6584,232,290.6905,0.0,0.223326,22.3326
2020-10-13,zn2012                        ,1322,2243,140,133.4445,0.0,0.225835,22.5835
2020-10-13,zn2101                        ,9,196,2,0.3965,0.0,0.219673,21.9673
2020-10-14,zn2012                        ,1431,2331,88,122.4585,0.0,0.211249,21.1249
2020-10-14,zn2101                        ,5,197,1,0.201,0.0,0.215045,21.5045
2020-10-14,zn2011                        ,4803,6681,97,379.5955,0.0,0.207801,20.7801
2020-10-15,zn2101                        ,4,199,2,0.13,0.0,0.221958,22.1958
2020-10-15,zn2012                        ,1347,2372,41,129.4475,0.0,0.210469,21.0469
2020-10-15,zn2011                        ,5552,6947,266,358.661,0.0,0.203278,20.3278
2020-10-16,zn2011                        ,6252,7388,441,423.3845,0.0,0.211714,21.1714
2020-10-16,zn2012                        ,1569,2635,263,115.3025,0.0,0.217481,21.7481
2020-10-16,zn2101                        ,689,454,255,64.71,0.0,0.218599,21.8599
2020-10-19,zn2011                        ,5770,7548,160,455.914,0.0,0.22356,22.356
2020-10-19,zn2012                        ,2145,2974,339,253.8405,0.0,0.216826,21.6826
2020-10-19,zn2101                        ,588,607,153,86.0265,0.0,0.216719,21.6719
2020-10-20,zn2012                        ,1127,3244,270,74.6795,0.0,0.227003,22.7003
2020-10-20,zn2101                        ,462,697,90,50.169,0.0,0.215733,21.5733
2020-10-20,zn2011                        ,5444,7656,108,331.4665,0.0,0.219465,21.9465
2020-10-21,zn2011                        ,9344,8192,536,872.9935,0.0,0.203208,20.3208
2020-10-21,zn2012                        ,3255,3559,315,281.3615,0.0,0.225502,22.5502
2020-10-21,zn2101                        ,1378,954,257,192.4385,0.0,0.225869,22.5869
2020-10-22,zn2011                        ,6137,8268,76,523.185,41.0,0.205577,20.5577
2020-10-22,zn2012                        ,3014,3823,264,264.044,0.0,0.228869,22.8869
2020-10-22,zn2101                        ,1176,1072,118,173.861,0.0,0.225002,22.5002
2020-10-23,zn2101                        ,1036,1345,273,164.239,0.0,0.221756,22.1756
2020-10-23,zn2011                        ,8945,8278,10,1330.842,28.0,0.175906,17.5906
2020-10-23,zn2012                        ,3702,3971,148,423.605,0.0,0.225845,22.5845
2020-10-26,zn2012                        ,2407,4103,132,191.78,0.0,0.213933,21.3933
2020-10-26,zn2101                        ,489,1421,76,35.096,0.0,0.221097,22.1097
2020-10-26,zn2011                        ,8828,0,-8278,366.5975,1194.0,0.161747,16.1747
2020-10-27,zn2012                        ,5183,4398,295,297.193,0.0,0.210756,21.0756
2020-10-27,zn2101                        ,681,1405,-16,51.2505,0.0,0.210674,21.0674
2020-10-28,zn2012                        ,10193,5468,1070,789.5505,0.0,0.210032,21.0032
2020-10-28,zn2101                        ,1793,1751,346,296.98,0.0,0.199831,19.9831
2020-10-29,zn2012                        ,10734,5691,223,835.531,0.0,0.222096,22.2096
2020-10-29,zn2101                        ,1009,1926,175,137.224,0.0,0.209844,20.9844
2020-10-30,zn2012                        ,9683,5863,172,863.759,0.0,0.21486,21.486
2020-10-30,zn2101                        ,1543,2074,148,316.8725,0.0,0.208595,20.8595
2020-11-02,zn2101                        ,1017,2215,141,72.501,0.0,0.214189,21.4189
